state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,10100,0.34787261,0.27367529,1576.0,1077.0,17031010100
17,31,10201,0.34579933,0.31765181,2221.0,889.0,17031010201
17,31,10202,0.34250006,0.38730964,970.0,389.0,17031010202
17,31,10300,0.3455323,0.37148848,1119.0,498.0,17031010300
17,31,10400,0.44876415,0.32099622,642.0,135.0,17031010400
17,31,10501,0.32830122,0.30720013,767.0,267.0,17031010501
17,31,10502,0.39966345,0.36865407,581.0,203.0,17031010502
17,31,10503,0.41611263,0.39755672,429.0,150.0,17031010503
17,31,10600,0.36455035,0.37564313,1672.0,624.0,17031010600
17,31,10701,0.40507621,0.41138572,1347.0,425.0,17031010701
17,31,10702,0.3628068,0.31147721,1794.0,565.0,17031010702
17,31,20100,0.41483366,0.40124613,800.0,233.0,17031020100
17,31,20200,0.49496564,0.63484913,1717.0,115.0,17031020200
17,31,20301,0.5487079,0.65198141,895.0,46.0,17031020301
17,31,20302,0.47239551,0.55677092,877.0,46.0,17031020302
17,31,20400,0.41236502,0.52716541,834.0,96.0,17031020400
17,31,20500,0.49200168,0.29149222,1915.0,249.0,17031020500
17,31,20601,0.47481304,0.53795135,1776.0,55.0,17031020601
17,31,20602,0.46588793,0.50704271,1214.0,38.0,17031020602
17,31,20701,0.4915621,0.62192583,415.0,13.0,17031020701
17,31,20702,0.52776736,0.43939039,1750.0,53.0,17031020702
17,31,20801,0.45124367,0.44393829,1451.0,82.0,17031020801
17,31,20802,0.48449001,0.3847515,1852.0,105.0,17031020802
17,31,20901,0.44710052,0.34171188,1545.0,259.0,17031020901
17,31,20902,0.48727217,0.33913109,1269.0,212.0,17031020902
17,31,30101,0.38448039,0.36962295,520.0,164.0,17031030101
17,31,30102,0.44087645,0.3413496,428.0,135.0,17031030102
17,31,30103,0.3507925,0.31158456,257.0,81.0,17031030103
17,31,30104,0.48174888,0.34872335,491.0,155.0,17031030104
17,31,30200,0.42166176,0.51049888,1089.0,148.0,17031030200
17,31,30300,0.43670344,0.43727088,925.0,117.0,17031030300
17,31,30400,0.42237085,0.43543303,654.0,67.0,17031030400
17,31,30500,0.41833013,0.37601733,1650.0,229.0,17031030500
17,31,30601,0.40667883,0.32962903,564.0,191.0,17031030601
17,31,30603,0.37904939,0.26236162,294.0,100.0,17031030603
17,31,30604,0.43178016,0.42707962,418.0,142.0,17031030604
17,31,30701,0.35771015,0.2397043,175.0,60.0,17031030701
17,31,30702,0.38610452,0.47046074,184.0,63.0,17031030702
17,31,30703,0.32960993,0.30216834,320.0,110.0,17031030703
17,31,30706,0.40636095,0.36638051,407.0,140.0,17031030706
17,31,30800,0.44182697,0.56165099,647.0,15.0,17031030800
17,31,30900,0.4382048,0.45325041,618.0,27.0,17031030900
17,31,31000,0.38229591,0.38455522,788.0,58.0,17031031000
17,31,31100,0.47584727,0.32064965,704.0,70.0,17031031100
17,31,31200,0.38291195,0.2546311,1525.0,669.0,17031031200
17,31,31300,0.39750668,0.3623625,899.0,265.0,17031031300
17,31,31400,0.40291193,0.61816245,353.0,51.0,17031031400
17,31,31501,0.42026535,0.26796094,1165.0,579.0,17031031501
17,31,31502,0.36457905,0.24392569,1243.0,617.0,17031031502
17,31,31700,0.36375821,0.26250067,1404.0,398.0,17031031700
17,31,31800,0.36238071,0.35406673,305.0,13.0,17031031800
17,31,31900,0.42005718,0.43522072,429.0,38.0,17031031900
17,31,32100,0.3561351,0.35120475,999.0,324.0,17031032100
17,31,40100,0.4825944,0.46137461,1012.0,24.0,17031040100
17,31,40201,0.44890413,0.40192133,1525.0,38.0,17031040201
17,31,40202,0.48576567,0.38397294,1778.0,45.0,17031040202
17,31,40300,0.47644219,0.59072334,819.0,58.0,17031040300
17,31,40401,0.39258268,0.50806493,636.0,19.0,17031040401
17,31,40402,0.4456065,0.36417893,919.0,27.0,17031040402
17,31,40600,0.44207147,0.50458163,437.0,13.0,17031040600
17,31,40700,0.41472331,0.42476714,677.0,13.0,17031040700
