geoid,Threshold,jobs
17031010100,5,123.47245322245324
17031010100,10,639.4397089397089
17031010100,15,2156.768711018711
17031010100,20,9413.08575883576
17031010100,25,28409.776507276507
17031010100,30,58439.327442827445
17031010100,35,92530.6372141372
17031010100,40,134623.08731808732
17031010100,45,205414.58835758836
17031010100,50,418210.15332640335
17031010100,55,803857.0997920998
17031010100,60,1020711.028066528
17031010201,5,54.238853503184714
17031010201,10,633.4263977353149
17031010201,15,2660.9734607218684
17031010201,20,7126.075371549894
17031010201,25,22293.420382165605
17031010201,30,57286.874380750174
17031010201,35,96158.7508846426
17031010201,40,129537.42922859165
17031010201,45,175039.29051663127
17031010201,50,259655.67869780608
17031010201,55,506320.81988676573
17031010201,60,851060.6854210899
17031010202,5,285.0291734197731
17031010202,10,1553.9935170178285
17031010202,15,5004.173419773096
17031010202,20,15016.847649918962
17031010202,25,36661.540518638576
17031010202,30,70691.50162074555
17031010202,35,110766.46110210696
17031010202,40,162794.3444084279
17031010202,45,281936.65478119935
17031010202,50,649988.6863857374
17031010202,55,1032054.9619124796
17031010202,60,1142081.0632090762
17031010300,5,366.293808630394
17031010300,10,1142.4739212007505
17031010300,15,3104.455534709193
17031010300,20,10778.28780487805
17031010300,25,22747.81050656661
17031010300,30,48395.83752345216
17031010300,35,87520.9373358349
17031010300,40,131814.2975609756
17031010300,45,231038.5879924953
17031010300,50,527477.7632270169
17031010300,55,879265.4382739211
17031010300,60,1062670.2622889306
17031010400,5,1070.1292194092828
17031010400,10,2905.4462025316457
17031010400,15,7472.9219409282705
17031010400,20,15162.549578059072
17031010400,25,25158.57014767933
17031010400,30,41557.78111814346
17031010400,35,76178.20569620254
17031010400,40,162403.9266877637
17031010400,45,362932.64926160336
17031010400,50,669798.0015822785
17031010400,55,959230.2779535864
17031010400,60,1091570.9166666667
17031010501,5,246.39711384286477
17031010501,10,1106.7562800641367
17031010501,15,7135.965259219669
17031010501,20,14269.678246926776
17031010501,25,24278.738107963654
17031010501,30,46232.54836985569
17031010501,35,92532.6183858899
17031010501,40,152762.6894708712
17031010501,45,346912.77979690005
17031010501,50,723395.5542490646
17031010501,55,1015399.5676109032
17031010501,60,1125419.594869054
17031010502,5,131.62209711470794
17031010502,10,1005.1315974665728
17031010502,15,6879.468684025334
17031010502,20,15356.516537649542
17031010502,25,25437.073891625616
17031010502,30,40789.35186488389
17031010502,35,74615.38916256158
17031010502,40,145389.32723434202
17031010502,45,350372.52920478536
17031010502,50,710272.4623504574
17031010502,55,1001082.7473610132
17031010502,60,1091895.584799437
17031010503,5,219.56801909307876
17031010503,10,4028.8114558472553
17031010503,15,10283.46181384248
17031010503,20,19869.08472553699
17031010503,25,31422.32816229117
17031010503,30,47643.64319809069
17031010503,35,88251.12291169452
17031010503,40,186084.0942720764
17031010503,45,492091.0023866348
17031010503,50,802199.7362768496
17031010503,55,1019560.8198090692
17031010503,60,1113030.8556085918
17031010600,5,206.9093054619015
17031010600,10,1090.2353337828729
17031010600,15,5256.561024949427
17031010600,20,13688.796021577882
17031010600,25,24347.34052596089
17031010600,30,41730.74612272421
17031010600,35,76728.42110586648
17031010600,40,134224.3186109238
17031010600,45,286616.79197572486
17031010600,50,619774.4002022926
17031010600,55,952555.1945380984
17031010600,60,1096805.2660148349
17031010701,5,49.92075892857143
17031010701,10,872.6049107142857
17031010701,15,3326.1043526785716
17031010701,20,7695.003348214285
17031010701,25,20294.834821428572
17031010701,30,47116.998325892855
17031010701,35,89401.05747767857
17031010701,40,145642.48270089287
